date,country,tavg,prcp,wspd
2023-01-31,China,6.809677419354839,1.993548387096774,13.03225806451613
2023-02-28,China,7.807142857142857,2.189285714285714,13.764285714285716
2023-03-31,China,13.103225806451613,1.9000000000000001,13.180645161290323
2023-04-30,China,17.876666666666665,1.5633333333333335,15.663333333333332
2023-05-31,China,22.270967741935483,1.932258064516129,14.648387096774194
2023-06-30,China,26.14,13.366666666666667,12.35
2023-07-31,China,30.016129032258064,9.616129032258065,14.087096774193547
2023-08-31,China,29.516129032258064,4.267741935483872,13.193548387096774
2023-09-30,China,26.416666666666668,3.8033333333333337,11.44
2023-10-31,China,21.103225806451615,0.4225806451612903,11.077419354838709
2023-11-30,China,15.056666666666667,1.66,13.81
2023-12-31,China,7.535483870967742,1.1516129032258062,12.62258064516129
2024-01-31,China,6.541935483870968,0.667741935483871,12.845161290322581
2024-02-29,China,6.910344827586207,4.251724137931034,15.386206896551723
2024-03-31,China,12.174193548387096,1.7064516129032257,13.641935483870967
2024-04-30,China,17.553333333333335,4.05,13.110000000000001
2024-05-31,China,21.603225806451615,2.9419354838709677,14.774193548387096
2024-06-30,China,24.85666666666667,13.703333333333335,12.020000000000001
2024-07-31,China,31.519354838709678,4.212903225806452,16.948387096774194
2024-08-31,China,31.967741935483872,1.0741935483870966,12.87741935483871
2024-09-30,China,28.17,5.8566666666666665,15.633333333333333
2024-10-31,China,20.467741935483872,4.72258064516129,14.832258064516129
2024-11-30,China,15.543333333333333,4.996666666666666,14.556666666666667
2024-12-31,China,7.770967741935484,0.5258064516129033,12.30967741935484
2025-01-31,China,7.116129032258065,0.3129032258064516,12.419354838709678
2025-02-28,China,6.492857142857143,0.6428571428571429,13.264285714285714
2025-03-31,China,12.59032258064516,2.512903225806452,14.483870967741936
2025-04-30,China,19.366666666666667,0.9700000000000001,14.806666666666667
2025-05-31,China,22.770967741935483,3.725806451612903,15.687096774193549
2025-06-30,China,26.183333333333334,8.743333333333334,13.086666666666668
2025-07-31,China,30.061290322580643,7.051612903225807,18.75483870967742
2025-08-31,China,31.92258064516129,2.5290322580645164,14.538709677419355
2025-09-30,China,29.9,10.3,9.2
2023-01-31,Finland,-0.7096774193548386,2.696774193548387,16.5
2023-02-28,Finland,-1.1928571428571428,1.3642857142857143,15.807142857142859
2023-03-31,Finland,-0.2935483870967742,1.8774193548387097,15.070967741935483
2023-04-30,Finland,5.953333333333333,0.30666666666666664,14.066666666666666
2023-05-31,Finland,11.025806451612903,0.5354838709677419,13.296774193548387
2023-06-30,Finland,17.033333333333335,0.14,11.81
2023-07-31,Finland,16.893548387096775,3.3129032258064517,13.37741935483871
2023-08-31,Finland,17.874193548387098,5.34516129032258,13.674193548387096
2023-09-30,Finland,15.889999999999999,1.6733333333333333,13.69
2023-10-31,Finland,5.754838709677419,4.225806451612903,17.316129032258065
2023-11-30,Finland,0.8633333333333333,2.106666666666667,13.813333333333333
2023-12-31,Finland,-3.235483870967742,2.0483870967741935,13.338709677419354
2024-01-31,Finland,-6.687096774193549,1.3709677419354838,15.661290322580646
2024-02-29,Finland,-2.2655172413793103,2.279310344827586,15.006896551724138
2024-03-31,Finland,0.9161290322580645,0.8838709677419354,11.98709677419355
2024-04-30,Finland,3.6799999999999997,2.8833333333333333,14.526666666666667
2024-05-31,Finland,13.980645161290322,0.11290322580645161,11.674193548387096
2024-06-30,Finland,17.27,0.81,13.370000000000001
2024-07-31,Finland,19.106451612903225,1.6451612903225807,13.193548387096774
2024-08-31,Finland,18.461290322580645,1.3666666666666667,12.90967741935484
2024-09-30,Finland,15.586666666666668,3.066666666666667,11.46
2024-10-31,Finland,9.22258064516129,1.8483870967741935,14.558064516129033
