date,sentiment_score,news_volume
2023-01-01,-0.7571311891078949,0.00932258064516129
2023-02-01,-0.9045912027359009,0.008503571428571428
2023-03-01,-0.9285696148872375,0.006186666666666668
2023-04-01,,0.004280000000000001
2023-05-01,0.0,0.006129032258064516
2023-06-01,,0.004666666666666666
2023-07-01,0.0,0.0034870967741935485
2023-08-01,,0.004067741935483871
2023-09-01,,0.004546666666666667
2023-10-01,,0.006567741935483871
2023-11-01,,0.00445
2023-12-01,0.0,0.0031290322580645163
2024-01-01,0.0,0.006154838709677419
2024-02-01,,0.005141379310344828
2024-03-01,-0.2557900547981262,0.0025838709677419355
2024-04-01,0.43375951051712036,0.0030900000000000003
2024-05-01,,0.004167741935483871
2024-06-01,,0.003506666666666666
2024-07-01,,0.002709677419354839
2024-08-01,-0.8862481117248535,0.0023096774193548386
2024-09-01,-0.6691831946372986,0.00558
2024-10-01,-0.6616494655609131,0.007548387096774194
