Date,Series,Value
2024-12-08,Volume Intensity,0.0043
2024-12-09,Volume Intensity,0.0045
2024-12-10,Volume Intensity,0.0068
2024-12-11,Volume Intensity,0.0029
2024-12-12,Volume Intensity,0.0043
2024-12-13,Volume Intensity,0.0057
2024-12-14,Volume Intensity,0.0007
2024-12-15,Volume Intensity,0
2024-12-16,Volume Intensity,0.0401
2024-12-17,Volume Intensity,0.0046
2024-12-18,Volume Intensity,0.0012
2024-12-19,Volume Intensity,0.0084
2024-12-20,Volume Intensity,0.0059
2024-12-21,Volume Intensity,0.0009
2024-12-22,Volume Intensity,0
2024-12-23,Volume Intensity,0.0277
2024-12-24,Volume Intensity,0.0015
2024-12-25,Volume Intensity,0
2024-12-26,Volume Intensity,0.0007
2024-12-27,Volume Intensity,0.0044
2024-12-28,Volume Intensity,0
2024-12-29,Volume Intensity,0.0012
2024-12-30,Volume Intensity,0.0048
2024-12-31,Volume Intensity,0.029
2025-01-01,Volume Intensity,0.0045
2025-01-02,Volume Intensity,0.0018
2025-01-03,Volume Intensity,0.0017
2025-01-04,Volume Intensity,0.001
2025-01-05,Volume Intensity,0.0033
2025-01-06,Volume Intensity,0.0069
2025-01-07,Volume Intensity,0.008
2025-01-08,Volume Intensity,0.0045
2025-01-09,Volume Intensity,0.0022
2025-01-10,Volume Intensity,0.0019
2025-01-11,Volume Intensity,0.01
2025-01-12,Volume Intensity,0.0028
2025-01-13,Volume Intensity,0.003
2025-01-14,Volume Intensity,0.0031
2025-01-15,Volume Intensity,0.0073
2025-01-16,Volume Intensity,0.0137
2025-01-17,Volume Intensity,0.0077
2025-01-18,Volume Intensity,0.0039
2025-01-19,Volume Intensity,0.0018
2025-01-20,Volume Intensity,0.0117
2025-01-21,Volume Intensity,0.0193
2025-01-22,Volume Intensity,0.0207
2025-01-23,Volume Intensity,0.0041
2025-01-24,Volume Intensity,0.0069
2025-01-25,Volume Intensity,0.0027
2025-01-26,Volume Intensity,0.0029
2025-01-27,Volume Intensity,0.0123
2025-01-28,Volume Intensity,0.0047
2025-01-29,Volume Intensity,0.0036
2025-01-30,Volume Intensity,0.0044
2025-01-31,Volume Intensity,0.0113
2025-02-01,Volume Intensity,0.0022
2025-02-02,Volume Intensity,0.0317
2025-02-03,Volume Intensity,0.0193
2025-02-04,Volume Intensity,0.0123
2025-02-05,Volume Intensity,0.0097
2025-02-06,Volume Intensity,0.0094
2025-02-07,Volume Intensity,0.0095
2025-02-08,Volume Intensity,0.0075
2025-02-09,Volume Intensity,0.0078
2025-02-10,Volume Intensity,0.0078
2025-02-11,Volume Intensity,0.0268
2025-02-12,Volume Intensity,0.0102
2025-02-13,Volume Intensity,0.0253
2025-02-14,Volume Intensity,0.0422
2025-02-15,Volume Intensity,0.0116
2025-02-16,Volume Intensity,0.011
2025-02-17,Volume Intensity,0.0129
2025-02-18,Volume Intensity,0.0065
2025-02-19,Volume Intensity,0.009
2025-02-20,Volume Intensity,0.0102
2025-02-21,Volume Intensity,0.0063
2025-02-22,Volume Intensity,0.0028
2025-02-23,Volume Intensity,0.0026
2025-02-24,Volume Intensity,0.0096
2025-02-25,Volume Intensity,0.0044
2025-02-26,Volume Intensity,0.0049
2025-02-27,Volume Intensity,0.0064
2025-02-28,Volume Intensity,0.0161
2025-03-01,Volume Intensity,0.0084
2025-03-02,Volume Intensity,0.0053
2025-03-03,Volume Intensity,0.0087
2025-03-04,Volume Intensity,0.0113
2025-03-05,Volume Intensity,0.0149
2025-03-06,Volume Intensity,0.016
2025-03-07,Volume Intensity,0.0139
2025-03-08,Volume Intensity,0.0119
2025-03-09,Volume Intensity,0.0092
2025-03-10,Volume Intensity,0.0193
2025-03-11,Volume Intensity,0.0327
2025-03-12,Volume Intensity,0.0173
2025-03-13,Volume Intensity,0.0429
2025-03-14,Volume Intensity,0.0105
2025-03-15,Volume Intensity,0.0087
2025-03-16,Volume Intensity,0.0107
2025-03-17,Volume Intensity,0.0131
2025-03-18,Volume Intensity,0.0223
2025-03-19,Volume Intensity,0.0167
2025-03-20,Volume Intensity,0.0106
2025-03-21,Volume Intensity,0.0104
2025-03-22,Volume Intensity,0.0094
2025-03-23,Volume Intensity,0.0058
2025-03-24,Volume Intensity,0.0065
2025-03-25,Volume Intensity,0.0068
2025-03-26,Volume Intensity,0.0124
2025-03-27,Volume Intensity,0.0139
2025-03-28,Volume Intensity,0.0136
2025-03-29,Volume Intensity,0.0037
2025-03-30,Volume Intensity,0.0081
2025-03-31,Volume Intensity,0.0139
2025-04-01,Volume Intensity,0.0145
2025-04-02,Volume Intensity,0.0657
2025-04-03,Volume Intensity,0.096
2025-04-04,Volume Intensity,0.0389
2025-04-05,Volume Intensity,0.0372
2025-04-06,Volume Intensity,0.0925
2025-04-07,Volume Intensity,0.0466
2025-04-08,Volume Intensity,0.0313
2025-04-09,Volume Intensity,0.052
2025-04-10,Volume Intensity,0.0259
2025-04-11,Volume Intensity,0.024
2025-04-12,Volume Intensity,0.0108
2025-04-13,Volume Intensity,0.0104
2025-04-14,Volume Intensity,0.0314
2025-04-15,Volume Intensity,0.0265
2025-04-16,Volume Intensity,0.0401
2025-04-17,Volume Intensity,0.0931
2025-04-18,Volume Intensity,0.0186
2025-04-19,Volume Intensity,0.0122
2025-04-20,Volume Intensity,0.0184
2025-04-21,Volume Intensity,0.0321
2025-04-22,Volume Intensity,0.019
2025-04-23,Volume Intensity,0.0381
2025-04-24,Volume Intensity,0.0225
2025-04-25,Volume Intensity,0.0272
2025-04-26,Volume Intensity,0.0036
2025-04-27,Volume Intensity,0.0087
2025-04-28,Volume Intensity,0.0174
2025-04-29,Volume Intensity,0.0246
2025-04-30,Volume Intensity,0.026
2025-05-01,Volume Intensity,0.0431
2025-05-02,Volume Intensity,0.0453
2025-05-03,Volume Intensity,0.0389
2025-05-04,Volume Intensity,0.0034
2025-05-05,Volume Intensity,0.0161
2025-05-06,Volume Intensity,0.0254
2025-05-07,Volume Intensity,0.0361
2025-05-08,Volume Intensity,0.0151
2025-05-09,Volume Intensity,0.0152
2025-05-10,Volume Intensity,0.0098
2025-05-11,Volume Intensity,0.0114
2025-05-12,Volume Intensity,0.0341
2025-05-13,Volume Intensity,0.022
2025-05-14,Volume Intensity,0.0148
2025-05-15,Volume Intensity,0.0155
2025-05-16,Volume Intensity,0.0186
2025-05-17,Volume Intensity,0.0072
2025-05-18,Volume Intensity,0.0293
2025-05-19,Volume Intensity,0.0175
2025-05-20,Volume Intensity,0.0113
2025-05-21,Volume Intensity,0.0088
2025-05-22,Volume Intensity,0.0165
2025-05-23,Volume Intensity,0.0228
2025-05-24,Volume Intensity,0.0074
2025-05-25,Volume Intensity,0.0041
2025-05-26,Volume Intensity,0.0234
2025-05-27,Volume Intensity,0.0111
2025-05-28,Volume Intensity,0.0121
2025-05-29,Volume Intensity,0.0343
2025-05-30,Volume Intensity,0.0156
2025-05-31,Volume Intensity,0.0079
2025-06-01,Volume Intensity,0.0058
2025-06-02,Volume Intensity,0.0176
2025-06-03,Volume Intensity,0.0197
2025-06-04,Volume Intensity,0.0359
2025-06-05,Volume Intensity,0.0195
2025-06-06,Volume Intensity,0.0146
2025-06-07,Volume Intensity,0.0099
2025-06-08,Volume Intensity,0.0079
2025-06-09,Volume Intensity,0.0098
2025-06-10,Volume Intensity,0.0057
2025-06-11,Volume Intensity,0.012
2025-06-12,Volume Intensity,0.04
2025-06-13,Volume Intensity,0.0042
2025-06-14,Volume Intensity,0.0075
2025-07-02,Volume Intensity,0.0103
2025-07-03,Volume Intensity,0.0131
2025-07-04,Volume Intensity,0.011
2025-07-05,Volume Intensity,0.0032
2025-07-06,Volume Intensity,0.0026
2025-07-07,Volume Intensity,0.021
2025-07-08,Volume Intensity,0.0333
2025-07-09,Volume Intensity,0.028
2025-07-10,Volume Intensity,0.0151
2025-07-11,Volume Intensity,0.0239
2025-07-12,Volume Intensity,0.0074
2025-07-13,Volume Intensity,0.0153
2025-07-14,Volume Intensity,0.0132
2025-07-15,Volume Intensity,0.0152
2025-07-16,Volume Intensity,0.0206
2025-07-17,Volume Intensity,0.0197
2025-07-18,Volume Intensity,0.0078
2025-07-19,Volume Intensity,0.0086
2025-07-20,Volume Intensity,0.0027
2025-07-21,Volume Intensity,0.01
2025-07-22,Volume Intensity,0.0182
2025-07-23,Volume Intensity,0.0167
2025-07-24,Volume Intensity,0.0407
2025-07-25,Volume Intensity,0.0185
2025-07-26,Volume Intensity,0.0072
2025-07-27,Volume Intensity,0.0052
2025-07-28,Volume Intensity,0.0101
2025-07-29,Volume Intensity,0.022
2025-07-30,Volume Intensity,0.0208
2025-07-31,Volume Intensity,0.0149
2025-08-01,Volume Intensity,0.0303
2025-08-02,Volume Intensity,0.0091
2025-08-03,Volume Intensity,0.0084
2025-08-04,Volume Intensity,0.0114
2025-08-05,Volume Intensity,0.0128
2025-08-06,Volume Intensity,0.017
2025-08-07,Volume Intensity,0.0207
2025-08-08,Volume Intensity,0.0155
2025-08-09,Volume Intensity,0.0144
2025-08-10,Volume Intensity,0.0072
2025-08-11,Volume Intensity,0.0172
2025-08-12,Volume Intensity,0.0147
2025-08-13,Volume Intensity,0.0123
2025-08-14,Volume Intensity,0.012
2025-08-15,Volume Intensity,0.0059
2025-08-16,Volume Intensity,0.0049
2025-08-17,Volume Intensity,0.0078
2025-08-18,Volume Intensity,0.0073
2025-08-19,Volume Intensity,0.0097
2025-08-20,Volume Intensity,0.0119
2025-08-21,Volume Intensity,0.015
2025-08-22,Volume Intensity,0.0132
2025-08-23,Volume Intensity,0.012
2025-08-24,Volume Intensity,0.0144
2025-08-25,Volume Intensity,0.0118
2025-08-26,Volume Intensity,0.0071
2025-08-27,Volume Intensity,0.0114
2025-08-28,Volume Intensity,0.009
2025-08-29,Volume Intensity,0.0112
2025-08-30,Volume Intensity,0.0118
2025-08-31,Volume Intensity,0.0114
2025-09-01,Volume Intensity,0.0026
2025-09-02,Volume Intensity,0.0079
2025-09-03,Volume Intensity,0.0133
2025-09-04,Volume Intensity,0.0152
2025-09-05,Volume Intensity,0.013
2025-09-06,Volume Intensity,0.009
2025-09-07,Volume Intensity,0.0043
2025-09-08,Volume Intensity,0.0209
2025-09-09,Volume Intensity,0.0129
2025-09-10,Volume Intensity,0.0139
2025-09-11,Volume Intensity,0.0185
2025-09-12,Volume Intensity,0.0118
2025-09-13,Volume Intensity,0.0066
2025-09-14,Volume Intensity,0.0048
2025-09-15,Volume Intensity,0.0136
2025-09-16,Volume Intensity,0.0111
2025-09-17,Volume Intensity,0.0038
2025-09-18,Volume Intensity,0.0092
2025-09-19,Volume Intensity,0.0062
2025-09-20,Volume Intensity,0.0089
2025-09-21,Volume Intensity,0.0028
2025-09-22,Volume Intensity,0.0066
2025-09-23,Volume Intensity,0.0058
2025-09-24,Volume Intensity,0.01
2025-09-25,Volume Intensity,0.0292
2025-09-26,Volume Intensity,0.0493
2025-09-27,Volume Intensity,0.006
2025-09-28,Volume Intensity,0.0071
2025-09-29,Volume Intensity,0.0062
2025-09-30,Volume Intensity,0.0156
2025-10-01,Volume Intensity,0.0179
2025-10-02,Volume Intensity,0.0048
2025-10-03,Volume Intensity,0.0071
2025-10-04,Volume Intensity,0.0021
2025-10-05,Volume Intensity,0.003
2025-10-06,Volume Intensity,0.0058
2025-10-07,Volume Intensity,0.0062
2025-10-08,Volume Intensity,0.0122
2025-10-09,Volume Intensity,0.0125
2025-10-10,Volume Intensity,0.0173
2025-10-11,Volume Intensity,0.0052
2025-10-12,Volume Intensity,0.0054
2025-10-13,Volume Intensity,0.005
2025-10-14,Volume Intensity,0.0151
2025-10-15,Volume Intensity,0.0129
2025-10-16,Volume Intensity,0.0138
2025-10-17,Volume Intensity,0.0052
2025-10-18,Volume Intensity,0.0071
2025-10-19,Volume Intensity,0.0046
2025-10-20,Volume Intensity,0.0112
2025-10-21,Volume Intensity,0.0061
2025-10-22,Volume Intensity,0.0093
2025-10-23,Volume Intensity,0.053
2025-10-24,Volume Intensity,0.0105
2025-10-25,Volume Intensity,0.0122
2025-10-26,Volume Intensity,0.0164
2025-10-27,Volume Intensity,0.0087
2025-10-28,Volume Intensity,0.009
2025-10-29,Volume Intensity,0.0113
2025-10-30,Volume Intensity,0.0147
2025-10-31,Volume Intensity,0.0098
2025-11-01,Volume Intensity,0.0069
2025-11-02,Volume Intensity,0.0025
2025-11-03,Volume Intensity,0.0045
2025-11-04,Volume Intensity,0.01
2025-11-05,Volume Intensity,0.0049
2025-11-06,Volume Intensity,0.0122
2025-11-07,Volume Intensity,0.0122
2025-11-08,Volume Intensity,0.0119
2025-11-09,Volume Intensity,0.0036
2025-11-10,Volume Intensity,0.0207
2025-11-11,Volume Intensity,0.0069
2025-11-12,Volume Intensity,0.0068
2025-11-13,Volume Intensity,0.0063
2025-11-14,Volume Intensity,0.0061
2025-11-15,Volume Intensity,0.0042
2025-11-16,Volume Intensity,0
2025-11-17,Volume Intensity,0.009
2025-11-18,Volume Intensity,0.0107
2025-11-19,Volume Intensity,0.0145
2025-11-20,Volume Intensity,0.0128
2025-11-21,Volume Intensity,0.0045
2025-11-22,Volume Intensity,0.0019
2025-11-23,Volume Intensity,0.0074
2025-11-24,Volume Intensity,0.0048
2025-11-25,Volume Intensity,0.0077
2025-11-26,Volume Intensity,0.0055
2025-11-27,Volume Intensity,0.0031
2025-11-28,Volume Intensity,0.01
2025-11-29,Volume Intensity,0.0078
2025-11-30,Volume Intensity,0.0014
2025-12-01,Volume Intensity,0.0054
2025-12-02,Volume Intensity,0.0036
2025-12-03,Volume Intensity,0.0131
2025-12-04,Volume Intensity,0.0064
2025-12-05,Volume Intensity,0.0104
2025-12-06,Volume Intensity,0
2025-12-07,Volume Intensity,0.0014
2025-12-08,Volume Intensity,0.0044
2025-12-09,Volume Intensity,0.0195
2025-12-10,Volume Intensity,0.005
2025-12-11,Volume Intensity,0.0148
2025-12-12,Volume Intensity,0.0059
2025-12-13,Volume Intensity,0.0007
2025-12-14,Volume Intensity,0.0048
2025-12-15,Volume Intensity,0.011
2025-12-16,Volume Intensity,0.0091
2025-12-17,Volume Intensity,0.0079
