Date,Series,Value
2023-06-12,Volume Intensity,0.0061
2023-06-13,Volume Intensity,0.0075
2023-06-14,Volume Intensity,0.0034
2023-06-15,Volume Intensity,0.0117
2023-06-16,Volume Intensity,0.0058
2023-06-17,Volume Intensity,0.0011
2023-06-18,Volume Intensity,0.0035
2023-06-19,Volume Intensity,0.0056
2023-06-20,Volume Intensity,0.0077
2023-06-21,Volume Intensity,0.0031
2023-06-22,Volume Intensity,0.0051
2023-06-23,Volume Intensity,0.0049
2023-06-24,Volume Intensity,0.006
2023-06-25,Volume Intensity,0.0017
2023-06-26,Volume Intensity,0.0032
2023-06-27,Volume Intensity,0.0039
2023-06-28,Volume Intensity,0.0045
2023-06-29,Volume Intensity,0.0046
2023-06-30,Volume Intensity,0.0029
2023-07-01,Volume Intensity,0.0019
2023-07-02,Volume Intensity,0.0026
2023-07-03,Volume Intensity,0.0026
2023-07-04,Volume Intensity,0.0029
2023-07-05,Volume Intensity,0.0049
2023-07-06,Volume Intensity,0.0047
2023-07-07,Volume Intensity,0.0047
2023-07-08,Volume Intensity,0.0033
2023-07-09,Volume Intensity,0.0019
2023-07-10,Volume Intensity,0.0049
2023-07-11,Volume Intensity,0.0083
2023-07-12,Volume Intensity,0.0054
2023-07-13,Volume Intensity,0.0015
2023-07-14,Volume Intensity,0.004
2023-07-15,Volume Intensity,0.0013
2023-07-16,Volume Intensity,0.0015
2023-07-17,Volume Intensity,0.0012
2023-07-18,Volume Intensity,0.0074
2023-07-19,Volume Intensity,0.0018
2023-07-20,Volume Intensity,0.006
2023-07-21,Volume Intensity,0.0007
2023-07-22,Volume Intensity,0.0025
2023-07-23,Volume Intensity,0.0037
2023-07-24,Volume Intensity,0.005
2023-07-25,Volume Intensity,0.0037
2023-07-26,Volume Intensity,0.0049
2023-07-27,Volume Intensity,0.0036
2023-07-28,Volume Intensity,0.0028
2023-07-29,Volume Intensity,0.0061
2023-07-30,Volume Intensity,0
2023-07-31,Volume Intensity,0.0023
2023-08-01,Volume Intensity,0.0037
2023-08-02,Volume Intensity,0.0043
2023-08-03,Volume Intensity,0.0017
2023-08-04,Volume Intensity,0.009
2023-08-05,Volume Intensity,0.0008
2023-08-06,Volume Intensity,0.0031
2023-08-07,Volume Intensity,0.0046
2023-08-08,Volume Intensity,0.0038
2023-08-09,Volume Intensity,0.008
2023-08-10,Volume Intensity,0.0121
2023-08-11,Volume Intensity,0.0083
2023-08-12,Volume Intensity,0
2023-08-13,Volume Intensity,0.0007
2023-08-14,Volume Intensity,0.0033
2023-08-15,Volume Intensity,0.0048
2023-08-16,Volume Intensity,0.0038
2023-08-17,Volume Intensity,0.0074
2023-08-18,Volume Intensity,0.0046
2023-08-19,Volume Intensity,0.0016
2023-08-20,Volume Intensity,0.0009
2023-08-21,Volume Intensity,0.0036
2023-08-22,Volume Intensity,0.0032
2023-08-23,Volume Intensity,0.0016
2023-08-24,Volume Intensity,0.0045
2023-08-25,Volume Intensity,0.0021
2023-08-26,Volume Intensity,0
2023-08-27,Volume Intensity,0.0073
2023-08-28,Volume Intensity,0.0017
2023-08-29,Volume Intensity,0.0051
2023-08-30,Volume Intensity,0.0059
2023-08-31,Volume Intensity,0.0046
2023-09-01,Volume Intensity,0.0056
2023-09-02,Volume Intensity,0.0007
2023-09-03,Volume Intensity,0.0015
2023-09-04,Volume Intensity,0.0011
2023-09-05,Volume Intensity,0.003
2023-09-06,Volume Intensity,0.0024
2023-09-07,Volume Intensity,0.0111
2023-09-08,Volume Intensity,0.0068
2023-09-09,Volume Intensity,0.0014
2023-09-10,Volume Intensity,0.001
2023-09-11,Volume Intensity,0.0076
2023-09-12,Volume Intensity,0.0097
2023-09-13,Volume Intensity,0.0025
2023-09-14,Volume Intensity,0.0028
2023-09-15,Volume Intensity,0.0137
2023-09-16,Volume Intensity,0.0048
2023-09-17,Volume Intensity,0.0012
2023-09-18,Volume Intensity,0.005
2023-09-19,Volume Intensity,0.0155
2023-09-20,Volume Intensity,0.0037
2023-09-21,Volume Intensity,0.0018
2023-09-22,Volume Intensity,0.0067
2023-09-23,Volume Intensity,0.0016
2023-09-24,Volume Intensity,0.0021
2023-09-25,Volume Intensity,0.0029
2023-09-26,Volume Intensity,0.0022
2023-09-27,Volume Intensity,0.0071
2023-09-28,Volume Intensity,0.0065
2023-09-29,Volume Intensity,0.0037
2023-09-30,Volume Intensity,0.0007
