country,date,sentiment_score,news_volume
China,2023-01-01,0.07692096774193548,128391.0
China,2023-02-01,0.11572857142857143,134699.73214285713
China,2023-03-01,0.127481,123462.25
China,2023-04-01,0.04887933333333334,81555.93333333333
China,2023-05-01,0.09194870967741936,92505.41935483871
China,2023-06-01,0.14644833333333332,89899.45
China,2023-07-01,0.10742806451612903,82036.45161290323
China,2023-08-01,0.14034193548387097,82793.80645161291
China,2023-09-01,0.1880986666666667,84508.73333333334
China,2023-10-01,0.16082032258064516,73003.70967741935
China,2023-11-01,0.23756166666666667,78460.86666666667
China,2023-12-01,0.2391941935483871,77603.90322580645
China,2024-01-01,0.16562451612903226,73270.19354838709
China,2024-02-01,0.14428655172413793,83552.43103448275
China,2024-03-01,0.23960387096774194,84881.69354838709
China,2024-04-01,0.16327066666666668,87040.35
China,2024-05-01,0.17790612903225805,78679.7258064516
China,2024-06-01,0.17224433333333333,85978.8
China,2024-07-01,0.23385935483870968,83482.16129032258
China,2024-08-01,0.1964574193548387,77357.0
China,2024-09-01,0.17150433333333334,86920.26666666666
China,2024-10-01,0.15266645161290324,80756.40322580645
Finland,2023-01-01,-0.04076645161290322,127999.74193548386
Finland,2023-02-01,-0.044567857142857145,134236.35714285713
Finland,2023-03-01,0.0029056666666666692,123094.58333333333
Finland,2023-04-01,0.005198666666666665,81418.96666666666
Finland,2023-05-01,0.07391129032258065,92273.6129032258
Finland,2023-06-01,0.07025733333333334,89694.1
Finland,2023-07-01,0.02225225806451613,81839.25806451614
Finland,2023-08-01,0.09327225806451614,82586.19354838709
Finland,2023-09-01,0.10782666666666667,84306.96666666666
Finland,2023-10-01,0.08986580645161289,72855.96774193548
Finland,2023-11-01,0.20986833333333335,78235.2
Finland,2023-12-01,0.09187483870967741,77387.59677419355
Finland,2024-01-01,0.030513225806451612,73116.98387096774
Finland,2024-02-01,0.07060896551724138,83419.3275862069
Finland,2024-03-01,0.12658870967741934,84678.17741935483
Finland,2024-04-01,0.073059,86846.08333333333
Finland,2024-05-01,0.06163612903225806,78511.06451612903
Finland,2024-06-01,0.077069,85811.81666666667
Finland,2024-07-01,0.08906870967741934,83302.14516129032
Finland,2024-08-01,0.08857064516129033,77202.91935483871
Finland,2024-09-01,0.037440999999999995,86738.1
Finland,2024-10-01,0.09027129032258065,80616.04838709677
France,2023-01-01,-0.011565806451612905,128057.03225806452
France,2023-02-01,-0.0054035714285714295,134305.94642857142
France,2023-03-01,0.056836,123169.98333333334
France,2023-04-01,0.056868,81449.38333333333
France,2023-05-01,-0.03403870967741936,92308.58064516129
France,2023-06-01,0.056158,89724.78333333334
France,2023-07-01,0.035417096774193545,81869.98387096774
France,2023-08-01,0.056545161290322575,82617.45161290323
France,2023-09-01,0.08990366666666666,84329.36666666667
France,2023-10-01,0.08943903225806452,72871.75806451614
France,2023-11-01,0.15242733333333333,78251.15
France,2023-12-01,0.09014129032258064,77410.67741935483
France,2024-01-01,0.058,73133.70967741935
France,2024-02-01,0.05514724137931035,83434.06896551725
France,2024-03-01,0.11054387096774193,84697.17741935483
France,2024-04-01,0.09124833333333333,86866.11666666667
France,2024-05-01,0.14611129032258063,78533.3870967742
France,2024-06-01,0.059277,85831.36666666667
France,2024-07-01,0.055833548387096775,83316.08064516129
France,2024-08-01,0.15286129032258064,77213.35483870968
France,2024-09-01,0.08715999999999999,86753.95
