date_code,country,trade_value_usd,date,tavg,prcp,wspd,sentiment_score,news_volume,prev_trade,pct_change,risk_label
202303,China,303250247751.0,2023-03-01,13.103225806451611,1.9,13.180645161290323,-0.9285696148872375,0.0061866666666666,209004102335.0,0.4509296437872716,0
202303,Finland,8287701792.247,2023-03-01,-0.2935483870967742,1.8774193548387097,15.070967741935483,-0.9285696148872375,0.0061866666666666,5370848118.437,0.5430899570213221,0
202303,France,59778652759.646,2023-03-01,8.593548387096773,1.9545454545454544,20.67096774193548,-0.9285696148872375,0.0061866666666666,53144015538.959,0.12484260275408171,0
202303,Germany,163396316089.323,2023-03-01,5.809677419354839,3.1,16.4,-0.9285696148872375,0.0061866666666666,142244471966.542,0.14870064073742165,0
202303,India,41957815630.248,2023-03-01,28.88387096774193,0.6774193548387096,9.64516129032258,-0.9285696148872375,0.0061866666666666,37015585332.961,0.13351755085947895,0
202303,Italy,63676072908.24,2023-03-01,12.996774193548386,0.3612903225806452,15.045161290322582,-0.9285696148872375,0.0061866666666666,56210961004.101,0.1328052709078282,0
202303,USA,184407050413.0,2023-03-01,13.429032258064517,5.816129032258065,10.148387096774194,-0.9285696148872375,0.0061866666666666,158903625574.0,0.1604961796615728,0
202304,China,289477526508.0,2023-04-01,17.876666666666665,1.5633333333333337,15.663333333333332,-0.9285696148872375,0.00428,303250247751.0,-0.045417015633599206,0
202304,Finland,6993650945.003,2023-04-01,5.953333333333333,0.3066666666666666,14.066666666666666,-0.9285696148872375,0.00428,8287701792.247,-0.15614109673378468,1
202304,France,51595594972.628,2023-04-01,9.816666666666666,2.0666666666666664,17.763333333333332,-0.9285696148872375,0.00428,59778652759.646,-0.13688929758788468,1
202304,Germany,132544671706.226,2023-04-01,7.846666666666667,1.3966666666666667,15.663333333333332,-0.9285696148872375,0.00428,163396316089.323,-0.18881481003666872,1
202304,India,34618433634.302,2023-04-01,29.973333333333336,0.51,10.24,-0.9285696148872375,0.00428,41957815630.248,-0.17492288112956317,1
202304,Italy,52158029065.479,2023-04-01,14.496666666666666,0.2733333333333333,11.943333333333332,-0.9285696148872375,0.00428,63676072908.24,-0.18088495908595065,1
202304,USA,162335030837.0,2023-04-01,16.113333333333333,0.1233333333333333,9.75,-0.9285696148872375,0.00428,184407050413.0,-0.11969184218589946,1
202305,China,281802842544.0,2023-05-01,22.270967741935483,1.932258064516129,14.648387096774194,0.0,0.0061290322580645,289477526508.0,-0.026512192696201937,0
202305,Finland,7194020649.149,2023-05-01,11.025806451612905,0.5354838709677419,13.296774193548387,0.0,0.0061290322580645,6993650945.003,0.028650229432620612,0
202305,France,58276316344.633,2023-05-01,13.14516129032258,0.55,15.706451612903225,0.0,0.0061290322580645,51595594972.628,0.12948239816885912,0
202305,Germany,144864595261.512,2023-05-01,12.783870967741937,0.5451612903225806,15.038709677419355,0.0,0.0061290322580645,132544671706.226,0.09294921777460854,0
202305,India,34956820518.881,2023-05-01,30.787096774193547,0.0193548387096774,11.125806451612902,0.0,0.0061290322580645,34618433634.302,0.009774760122124674,0
202305,Italy,62084323667.268,2023-05-01,18.9741935483871,0.5645161290322581,13.387096774193548,0.0,0.0061290322580645,52158029065.479,0.19031191898235972,0
202305,USA,166622285362.0,2023-05-01,17.0258064516129,0.2258064516129032,9.464516129032257,0.0,0.0061290322580645,162335030837.0,0.026409915979902183,0
202306,China,284065798322.0,2023-06-01,26.14,13.366666666666667,12.35,0.0,0.0046666666666666,281802842544.0,0.00803028016882643,0
202306,Finland,6786732734.6,2023-06-01,17.033333333333335,0.14,11.81,0.0,0.0046666666666666,7194020649.149,-0.05661478252737278,0
