Metric,Value
Accuracy,0.8780487804878049
Precision,0.6
Recall,0.5
F1-Score,0.5454545454545454
AUC-ROC,0.7095238095238096
Average Precision,0.5645873944119557
CV Accuracy (Mean),0.7963414634146341
CV Accuracy (Std),0.11903526039927174
